type;gender;gender;taste
Own brand Carrefour;female;1;-2
Own brand Carrefour;female;1;-3
Own brand Carrefour;female;1;2
Own brand Carrefour;female;1;-1
Own brand Carrefour;female;1;2
Own brand Carrefour;female;1;2
Own brand Carrefour;female;1;-1
Own brand Carrefour;female;1;-1
Own brand Carrefour;female;1;1
Own brand Carrefour;female;1;1
Own brand Carrefour;female;1;1
Own brand Carrefour;female;1;1
Own brand Carrefour;female;1;1
Own brand Carrefour;female;1;1
Own brand Carrefour;female;1;1
Own brand Carrefour;female;1;1
Own brand Carrefour;female;1;0
Own brand Carrefour;female;1;0
Own brand Carrefour;female;1;0
Own brand Carrefour;female;1;0
Own brand Carrefour;female;1;0
Own brand Carrefour;female;1;0
Own brand Carrefour;female;1;0
Own brand Carrefour;female;1;0
Own brand Carrefour;female;1;0
Chocolate milk Van Houten;female;1;3
Chocolate milk Van Houten;female;1;-1
Chocolate milk Van Houten;female;1;-1
Chocolate milk Van Houten;female;1;3
Chocolate milk Van Houten;female;1;3
Chocolate milk Van Houten;female;1;0
Chocolate milk Van Houten;female;1;0
Chocolate milk Van Houten;female;1;0
Chocolate milk Van Houten;female;1;0
Chocolate milk Van Houten;female;1;0
Chocolate milk Van Houten;female;1;0
Chocolate milk Van Houten;female;1;1
Chocolate milk Van Houten;female;1;1
Chocolate milk Van Houten;female;1;1
Chocolate milk Van Houten;female;1;1
Chocolate milk Van Houten;female;1;1
Chocolate milk Van Houten;female;1;1
Chocolate milk Van Houten;female;1;1
Chocolate milk Van Houten;female;1;2
Chocolate milk Van Houten;female;1;2
Chocolate milk Van Houten;female;1;2
Chocolate milk Van Houten;female;1;2
Chocolate milk Van Houten;female;1;2
Chocolate milk Van Houten;female;1;2
Chocolate milk Van Houten;female;1;2
Chocolate bar Van Houten;female;1;-2
Chocolate bar Van Houten;female;1;0
Chocolate bar Van Houten;female;1;0
Chocolate bar Van Houten;female;1;0
Chocolate bar Van Houten;female;1;0
Chocolate bar Van Houten;female;1;0
Chocolate bar Van Houten;female;1;0
Chocolate bar Van Houten;female;1;0
Chocolate bar Van Houten;female;1;1
Chocolate bar Van Houten;female;1;1
Chocolate bar Van Houten;female;1;1
Chocolate bar Van Houten;female;1;1
Chocolate bar Van Houten;female;1;1
Chocolate bar Van Houten;female;1;1
Chocolate bar Van Houten;female;1;1
Chocolate bar Van Houten;female;1;1
Chocolate bar Van Houten;female;1;1
Chocolate bar Van Houten;female;1;2
Chocolate bar Van Houten;female;1;2
Chocolate bar Van Houten;female;1;2
Chocolate bar Van Houten;female;1;2
Chocolate bar Van Houten;female;1;2
Chocolate bar Van Houten;female;1;3
Chocolate bar Van Houten;female;1;3
Chocolate bar Van Houten;female;1;3
Own brand Carrefour;male;0;3
Own brand Carrefour;male;0;2
Own brand Carrefour;male;0;-2
Own brand Carrefour;male;0;2
Own brand Carrefour;male;0;-1
Own brand Carrefour;male;0;-2
Own brand Carrefour;male;0;-1
Own brand Carrefour;male;0;-1
Own brand Carrefour;male;0;-1
Own brand Carrefour;male;0;-1
Own brand Carrefour;male;0;0
Own brand Carrefour;male;0;0
Own brand Carrefour;male;0;0
Own brand Carrefour;male;0;0
Own brand Carrefour;male;0;0
Own brand Carrefour;male;0;0
Own brand Carrefour;male;0;0
Own brand Carrefour;male;0;0
Own brand Carrefour;male;0;1
Own brand Carrefour;male;0;1
Own brand Carrefour;male;0;1
Own brand Carrefour;male;0;1
Own brand Carrefour;male;0;1
Own brand Carrefour;male;0;1
Own brand Carrefour;male;0;1
Chocolate milk Van Houten;male;0;-2
Chocolate milk Van Houten;male;0;3
Chocolate milk Van Houten;male;0;3
Chocolate milk Van Houten;male;0;3
Chocolate milk Van Houten;male;0;3
Chocolate milk Van Houten;male;0;2
Chocolate milk Van Houten;male;0;2
Chocolate milk Van Houten;male;0;2
Chocolate milk Van Houten;male;0;2
Chocolate milk Van Houten;male;0;2
Chocolate milk Van Houten;male;0;2
Chocolate milk Van Houten;male;0;1
Chocolate milk Van Houten;male;0;1
Chocolate milk Van Houten;male;0;1
Chocolate milk Van Houten;male;0;1
Chocolate milk Van Houten;male;0;1
Chocolate milk Van Houten;male;0;1
Chocolate milk Van Houten;male;0;1
Chocolate milk Van Houten;male;0;1
Chocolate milk Van Houten;male;0;1
Chocolate milk Van Houten;male;0;0
Chocolate milk Van Houten;male;0;0
Chocolate milk Van Houten;male;0;0
Chocolate milk Van Houten;male;0;0
Chocolate milk Van Houten;male;0;0
Chocolate bar Van Houten;male;0;-1
Chocolate bar Van Houten;male;0;0
Chocolate bar Van Houten;male;0;0
Chocolate bar Van Houten;male;0;0
Chocolate bar Van Houten;male;0;0
Chocolate bar Van Houten;male;0;0
Chocolate bar Van Houten;male;0;0
Chocolate bar Van Houten;male;0;1
Chocolate bar Van Houten;male;0;1
Chocolate bar Van Houten;male;0;1
Chocolate bar Van Houten;male;0;1
Chocolate bar Van Houten;male;0;1
Chocolate bar Van Houten;male;0;1
Chocolate bar Van Houten;male;0;1
Chocolate bar Van Houten;male;0;1
Chocolate bar Van Houten;male;0;1
Chocolate bar Van Houten;male;0;1
Chocolate bar Van Houten;male;0;2
Chocolate bar Van Houten;male;0;2
Chocolate bar Van Houten;male;0;2
Chocolate bar Van Houten;male;0;2
Chocolate bar Van Houten;male;0;2
Chocolate bar Van Houten;male;0;2
Chocolate bar Van Houten;male;0;3
Chocolate bar Van Houten;male;0;3